,ids,growth,status,binary
478837,"{'CIW80_12745', 'CIW80_02815'}",0.0,optimal,0
481665,"{'CIW80_15030', 'CIW80_18045'}",0.0,optimal,0
485800,"{'CIW80_21805', 'CIW80_05990'}",0.0,optimal,0
488127,"{'CIW80_06480', 'CIW80_01260'}",0.0,optimal,0
498368,"{'CIW80_06560', 'CIW80_17595'}",0.0,optimal,0
502039,"{'CIW80_07460', 'CIW80_02805'}",0.0,optimal,0
504372,"{'CIW80_06475', 'CIW80_01265'}",-0.0,optimal,0
516035,"{'CIW80_06560', 'CIW80_08300'}",-0.0,optimal,0
516723,"{'CIW80_15030', 'CIW80_18040'}",0.0,optimal,0
530447,"{'CIW80_04300', 'CIW80_24140'}",0.0,optimal,0
539688,"{'CIW80_21810', 'CIW80_05995'}",0.0,optimal,0
547865,"{'CIW80_10075', 'CIW80_13725'}",0.0,optimal,0
553774,"{'CIW80_15010', 'CIW80_18040'}",0.0,optimal,0
555268,"{'CIW80_18510', 'CIW80_11490'}",0.0,optimal,0
563721,"{'CIW80_18035', 'CIW80_06485'}",0.0,optimal,0
578635,"{'CIW80_18045', 'CIW80_15035'}",0.0,optimal,0
582840,"{'CIW80_07985', 'CIW80_25415'}",-0.0,optimal,0
586194,"{'CIW80_06000', 'CIW80_21815'}",-0.0,optimal,0
592617,"{'CIW80_20510', 'CIW80_15765'}",0.0,optimal,0
593978,"{'CIW80_20730', 'CIW80_17840'}",0.0,optimal,0
612445,"{'CIW80_18040', 'CIW80_15035'}",-0.0,optimal,0
613490,"{'CIW80_02800', 'CIW80_16445'}",0.0,optimal,0
622073,"{'CIW80_18090', 'CIW80_13235'}",-0.0,optimal,0
624434,"{'CIW80_24140', 'CIW80_15025'}",0.0,optimal,0
630102,"{'CIW80_12750', 'CIW80_01515'}",-0.0,optimal,0
649605,"{'CIW80_01270', 'CIW80_06475'}",-0.0,optimal,0
652889,"{'CIW80_01285', 'CIW80_06485'}",0.0,optimal,0
657951,"{'CIW80_10790', 'CIW80_18410'}",0.0,optimal,0
659463,"{'CIW80_18035', 'CIW80_20230'}",0.0,optimal,0
675420,"{'CIW80_22565', 'CIW80_18620'}",0.0,optimal,0
