,U00096,binary_an,binary_ae,diff,K12_growth,difference
CIW80_07895,b2818,0,0,0,0,0
CIW80_07940,b2827,0,0,0,0,0
CIW80_07980,b2835,1,1,0,1,0
CIW80_07985,b2836,1,1,0,1,0
CIW80_07995,b2838,0,0,0,0,0
CIW80_08010,b2841,1,1,0,1,0
CIW80_08015,b2842,1,1,0,1,0
CIW80_08020,b2843,1,1,0,1,0
CIW80_08050,b2866,1,1,0,1,0
CIW80_08055,b2867,1,1,0,1,0
CIW80_08060,b2868,1,1,0,1,0
CIW80_08075,b2871,1,1,0,1,0
CIW80_08085,b2873,1,1,0,1,0
CIW80_08105,b2877,1,1,0,1,0
CIW80_08130,b2882,1,1,0,1,0
CIW80_08135,b2883,1,1,0,1,0
CIW80_08140,b4464,1,1,0,1,0
CIW80_08160,b2888,1,1,0,1,0
CIW80_08170,b2889,1,1,0,1,0
CIW80_08190,b2893,1,1,0,1,0
CIW80_08200,b2895,1,1,0,1,0
CIW80_08230,b2901,1,1,0,1,0
CIW80_08235,b2903,1,1,0,1,0
CIW80_08240,b2904,1,1,0,1,0
CIW80_08245,b2905,1,1,0,1,0
CIW80_08250,b2906,1,1,0,1,0
CIW80_08255,b2907,1,1,0,1,0
CIW80_08285,b2912,1,1,0,1,0
CIW80_08300,b2913,1,1,0,1,0
CIW80_08305,b2914,1,1,0,1,0
CIW80_08325,b2917,1,1,0,1,0
CIW80_08340,b2923,1,1,0,1,0
CIW80_08345,b2924,1,1,0,1,0
CIW80_08350,b2925,1,1,0,1,0
CIW80_08355,b2926,1,1,0,1,0
CIW80_08360,b2927,1,1,0,1,0
CIW80_08415,b2933,1,1,0,1,0
CIW80_08420,b2934,1,1,0,1,0
CIW80_08430,b2935,1,1,0,1,0
CIW80_08440,b2937,1,1,0,1,0
CIW80_08450,b2938,1,1,0,1,0
CIW80_08470,b2942,0,0,0,0,0
CIW80_08475,b2943,1,1,0,1,0
CIW80_08495,b2947,1,1,0,1,0
CIW80_08530,b2954,1,1,0,1,0
CIW80_08545,b2957,1,1,0,1,0
CIW80_08580,b2963,1,1,0,1,0
CIW80_08585,b2964,1,1,0,1,0
CIW80_08590,b2965,1,1,0,1,0
CIW80_09235,b2975,1,1,0,1,0
CIW80_09240,b2976,1,1,0,1,0
CIW80_09250,b4467,1,1,0,1,0
CIW80_09255,b4468,1,1,0,1,0
CIW80_09260,b2979,1,1,0,1,0
CIW80_09335,b2987,1,1,0,1,0
CIW80_09340,b2988,1,1,0,1,0
CIW80_09345,b2989,1,1,0,1,0
CIW80_09370,b2994,1,1,0,1,0
CIW80_09375,b2995,1,1,0,1,0
CIW80_09380,b2996,1,1,0,1,0
CIW80_09385,b2997,1,1,0,1,0
CIW80_09405,b3001,1,1,0,1,0
CIW80_09415,b3003,1,1,0,1,0
CIW80_09420,b3005,1,1,0,1,0
CIW80_09425,b3006,1,1,0,1,0
CIW80_09435,b3008,1,1,0,1,0
CIW80_09450,b3011,1,1,0,1,0
CIW80_09455,b3012,1,1,0,1,0
CIW80_09515,b3018,0,0,0,0,0
CIW80_09560,b3028,1,1,0,1,0
CIW80_09565,b3029,1,1,0,1,0
CIW80_09610,b3032,1,1,0,1,0
CIW80_09620,b3034,1,1,0,1,0
CIW80_09625,b3035,1,1,0,1,0
CIW80_09665,b3040,1,1,0,0,1
CIW80_09695,b3041,0,0,0,0,0
CIW80_09720,b3052,1,1,0,1,0
CIW80_09760,b3057,1,1,0,1,0
CIW80_09765,b3058,0,0,0,0,0
CIW80_09770,b3059,1,1,0,1,0
CIW80_09785,b3061,1,1,0,1,0
CIW80_09790,b3062,1,1,0,1,0
CIW80_09795,b3063,1,1,0,1,0
CIW80_09840,b3070,1,1,0,1,0
CIW80_09865,b3073,1,1,0,1,0
CIW80_09950,b3089,1,1,0,1,0
CIW80_09960,b3091,1,1,0,1,0
CIW80_09965,b3092,1,1,0,1,0
CIW80_09970,b3093,1,1,0,1,0
CIW80_10050,b4471,1,1,0,1,0
CIW80_10060,b3114,1,1,0,1,0
CIW80_10065,b3115,1,1,0,1,0
CIW80_10070,b3116,1,1,0,1,0
CIW80_10075,b3117,1,1,0,1,0
CIW80_10095,b3124,1,1,0,1,0
CIW80_10100,b3125,1,1,0,1,0
CIW80_10105,b3126,1,1,0,1,0
CIW80_10110,b3127,1,1,0,1,0
CIW80_10115,b3128,1,1,0,1,0
CIW80_10140,b3132,1,1,0,1,0
CIW80_10175,b3137,1,1,0,1,0
CIW80_10270,b3161,1,1,0,1,0
CIW80_10330,b3172,0,0,0,0,0
CIW80_10350,b3176,0,0,0,0,0
CIW80_10355,b3177,0,0,0,0,0
CIW80_10380,b3182,1,1,0,1,0
CIW80_10405,b3187,0,0,0,0,0
CIW80_10415,b3189,0,0,0,0,0
CIW80_10450,b3196,0,0,0,0,0
CIW80_10455,b3197,1,1,0,1,0
CIW80_10460,b3198,0,0,0,0,0
CIW80_10465,b3199,0,0,0,0,0
CIW80_10470,b3200,0,0,0,0,0
CIW80_10475,b3201,0,0,0,0,0
CIW80_10510,b3208,1,1,0,1,0
CIW80_10540,b3212,1,1,0,1,0
CIW80_10545,b3213,1,1,0,1,0
CIW80_10555,b3222,1,1,0,1,0
CIW80_10560,b3223,1,1,0,1,0
CIW80_10565,b3224,1,1,0,1,0
CIW80_10570,b3225,1,1,0,1,0
CIW80_10630,b3236,1,1,0,1,0
CIW80_10650,b3240,1,1,0,1,0
CIW80_10655,b3241,1,1,0,1,0
CIW80_10685,b3248,1,1,0,1,0
CIW80_10720,b3253,1,1,0,1,0
CIW80_10735,b3255,0,0,0,0,0
CIW80_10740,b3256,0,0,0,0,0
CIW80_10790,b3258,1,1,0,1,0
CIW80_10830,b3265,1,1,0,1,0
CIW80_10835,b3266,1,1,0,1,0
CIW80_10920,b3281,1,1,0,1,0
CIW80_10960,b3290,1,1,0,1,0
CIW80_10965,b3291,1,1,0,1,0
CIW80_11200,b3336,1,1,0,1,0
CIW80_11280,b3350,1,1,0,1,0
CIW80_11335,b3359,1,1,0,1,0
CIW80_11340,b3360,0,0,0,0,0
CIW80_11365,b3365,1,1,0,1,0
CIW80_11370,b3366,1,1,0,1,0
CIW80_11375,b3367,1,1,0,1,0
CIW80_11380,b3368,0,0,0,0,0
CIW80_11435,b3385,1,1,0,1,0
CIW80_11440,b3386,1,1,0,1,0
CIW80_11455,b3389,0,0,0,0,0
CIW80_11460,b3390,1,1,0,1,0
CIW80_11490,b3396,1,1,0,1,0
CIW80_11495,b3397,1,1,0,1,0
CIW80_11505,b3399,1,1,0,1,0
CIW80_11530,b3403,1,1,0,1,0
CIW80_11580,b3409,1,1,0,1,0
CIW80_11600,b3412,1,1,0,1,0
CIW80_11615,b3415,1,1,0,1,0
CIW80_11620,b3416,1,1,0,1,0
CIW80_11625,b3417,1,1,0,1,0
CIW80_11660,b3425,1,1,0,1,0
CIW80_11665,b3426,1,1,0,1,0
CIW80_11720,b3428,1,1,0,1,0
CIW80_11725,b3429,1,1,0,1,0
CIW80_11730,b3430,1,1,0,1,0
CIW80_11735,b3431,1,1,0,1,0
CIW80_11740,b3432,1,1,0,1,0
CIW80_11745,b3433,0,0,0,0,0
CIW80_11765,b4476,1,1,0,1,0
CIW80_11770,b3437,1,1,0,1,0
CIW80_11820,b3447,1,1,0,1,0
CIW80_11830,b3449,1,1,0,1,0
CIW80_11835,b3450,1,1,0,1,0
CIW80_11840,b3451,1,1,0,1,0
CIW80_11845,b3452,1,1,0,1,0
CIW80_11850,b3453,1,1,0,1,0
CIW80_11855,b3454,1,1,0,1,0
CIW80_11860,b3455,1,1,0,1,0
CIW80_11865,b3456,1,1,0,1,0
CIW80_11870,b3457,1,1,0,1,0
CIW80_11875,b3458,1,1,0,1,0
CIW80_11890,b3460,1,1,0,1,0
CIW80_11935,b3469,1,1,0,1,0
CIW80_11965,b3475,1,1,0,1,0
CIW80_11970,b3476,1,1,0,1,0
CIW80_11975,b3477,1,1,0,1,0
CIW80_11980,b3478,1,1,0,1,0
CIW80_11985,b3479,1,1,0,1,0
CIW80_11990,b3480,1,1,0,1,0
CIW80_12065,b3493,1,1,0,1,0
CIW80_12085,b3496,1,1,0,1,0
CIW80_12105,b3500,1,1,0,1,0
CIW80_12120,b3503,1,1,0,1,0
CIW80_12250,b3517,1,1,0,1,0
CIW80_12260,b3519,1,1,0,1,0
CIW80_12290,b3525,1,1,0,1,0
CIW80_12300,b3526,1,1,0,1,0
CIW80_12315,b3528,1,1,0,1,0
CIW80_12405,b3540,1,1,0,1,0
CIW80_12410,b3541,1,1,0,1,0
CIW80_12415,b3542,1,1,0,1,0
CIW80_12420,b3543,1,1,0,1,0
CIW80_12430,b3544,1,1,0,1,0
CIW80_12445,b3546,1,1,0,1,0
CIW80_12475,b3551,1,1,0,1,0
CIW80_12485,b3553,1,1,0,1,0
CIW80_12540,b3564,1,1,0,1,0
CIW80_12545,b3565,1,1,0,1,0
CIW80_12550,b3566,1,1,0,1,0
CIW80_12555,b3567,1,1,0,1,0
CIW80_12560,b3568,1,1,0,1,0
