ID,lb,ub,pfba_wt,pfba_sec_met
PYK4,0.0,857.3773720181568,6.906202355147805,6.906202355148132
NH4tex,-614.8565769128211,-153.378459161382,-126.99084334706708,-342.334011652129
D_LACt2pp,-232.7715483626661,0.0,0.0,0.0
D_LACtex,-232.77154836278245,0.0,0.0,0.0
LDH_D,-1000.0,-9.77706804405898e-12,0.0,0.0
L_LACD4,-1000.0,-8.641464786489978e-12,0.0,0.0
F6PA,-6.004810876781932e-12,279.29242821814546,321.8102299822753,135.09556478973315
GLCNtex,-1000.0,0.0,0.0,6.192236505536093e-12
PGI,-1000.0,318.75093778398326,353.34856494467425,179.10472367483433
TKT2,-40.48728713512547,-40.4872871351583,-24.646937928801925,-40.48728713515364
GALUi,23.7605238095235,23.760523809525196,0.0,23.760523809524567
NTRIR3pp,0.0,1000.0,129.68992900604064,196.3678363674144
PGL,200.36179416413975,1000.0,387.0600706849111,767.2284516373062
EDA,767.228451637265,1000.0,387.0600706849112,767.2284516373071
EDD,767.2284516373338,1000.0,387.0600706849112,767.2284516373072
G6PDH2r,200.3617941650279,1000.0,387.060070684911,767.2284516373062
NADPHQR2,0.0,1000.0,0.0,0.0
ADK1,-1000.0,1000.0,71.28452746643498,142.5660988950114
NDPK3,-851.4852205519709,6.906202355103455,0.0,0.0
PPA,197.730019941944,197.7300199419533,102.6879247038452,197.73001994194283
