ID,lb,ub,pfba_wt,pfba_sec_met
NADPHQR2,0.0,849.4484430382691,0.0,0.0
H2Stex,-67.17381001072091,-67.17381001097661,0.0,-67.17381001076414
GLUDy,-1000.0,-462.6886746870623,-257.6186666907673,-462.6886746870714
NTRIR3pp,0.0,915.4956592847714,148.63192262279233,240.9791250808489
SDPTA,-111.83472189446634,-111.83472189447126,-9.29971789631705,-111.8347218944683
NO3R2pp,0.0,915.495659284761,152.69111580481268,402.6077866441935
NO3t7pp,0.0,915.4956592847224,152.6911158048127,402.6077866441935
ASAD,-134.91420673483393,-134.91420673483813,-32.37920273668394,-134.9142067348352
NO3tex,665.4956592849509,915.495659284766,367.1504300388601,665.4956592847927
ASPTA,-725.4279979981563,-188.11667268523743,-85.58166868709507,-188.1166726852473
DAPE,111.83472189447124,111.8347218944686,9.29971789631705,111.83472189446832
SDPDS,111.83472189447124,111.8347218944635,9.299717896317048,111.8347218944683
DHDPRy,111.8347218944712,111.8347218944686,9.299717896317048,111.83472189446827
DAPDC,110.91405686293226,110.9140568629338,8.379052864778076,110.91405686292934
O2tpp,103.09542034996343,103.09542034987328,10.832163408123254,103.0954203499367
O2tex,115.04638745808884,240.04638745772436,10.832163408123254,115.04638745804569
CYSabcpp,72.2433234343485,72.24332343435717,5.069513423578873,72.24332343434297
CYStex,72.2433234343638,72.2433234343188,5.069513423578873,72.24332343434297
CYSDS,67.17381001077194,67.17381001075192,0.0,67.17381001076414
H2St1pp,67.17381001081232,67.17381001075442,0.0,67.17381001076414
