ID,lb,ub,pfba_wt,pfba_sec_met
NADPHQR2,0.0,1000.0,0.0,0.0
H2Stex,4.5609477504742256e-11,0.0,0.0,0.0
GLUDy,-1000.0,-322.0233333634889,-322.02333336346,-322.0233333634581
NTRIR3pp,0.0,1000.0,198.496206934346,198.4962069343914
SDPTA,-11.624647370392196,-11.624647370396314,-11.624647370396314,-11.624647370393888
NO3R2pp,0.0,1000.0,528.67977000822,528.6797700083002
NO3t7pp,0.0,1000.0,528.6797700082201,528.6797700083002
ASAD,-40.47400342083851,-40.47400342085496,-40.47400342085496,-40.47400342085253
NO3tex,568.34348162949,1000.0000000000002,713.4246728585149,713.4246728585773
ASPTA,-784.9537524953771,-106.97708585887608,-106.97708585886936,-106.97708585886888
DAPE,11.624647370396314,11.624647370390552,11.624647370396314,11.624647370393888
SDPDS,11.624647370396314,11.62464737038559,11.624647370396314,11.624647370393886
DHDPRy,11.62464737039631,11.624647370390548,11.62464737039631,11.624647370393884
DAPDC,10.473816080972597,10.473816080954451,10.473816080972597,10.47381608097017
O2tpp,0.7005204397882355,290.862902897788,0.700520439731781,0.7005204397293553
O2tex,0.7005204397534616,472.9931905253932,0.700520439731781,0.7005204397293553
CYSabcpp,6.336891779501111,6.336891779438694,6.336891779473465,6.336891779473845
CYStex,6.336891779496516,6.33689177946432,6.336891779473465,6.336891779473845
CYSDS,0.0,-1.8514010160141065e-11,0.0,0.0
H2St1pp,0.0,-4.158132850360198e-11,0.0,0.0
