ID,lb,ub,pfba_wt,pfba_sec_met
NADPHQR2,0.0,-6.147410243669453e-11,0.0,0.0
H2Stex,-773.3772218073046,-773.3772218072052,1.002483365028704e-14,-773.3772218048275
GLUDy,-914.577684839432,-914.5776848394366,0.0,-914.5776848393992
NTRIR3pp,129.50338561134578,485.1290365943327,0.0,313.50538212841167
SDPTA,-423.8503659447336,-423.8503659447352,0.0,-423.8503659447345
NO3R2pp,0.0,485.1290365941376,-1.5741877383813822e-17,485.1290365963088
NO3t7pp,485.1290365947548,485.1290365939181,-1.5741877383813825e-17,485.1290365963087
ASAD,-423.8503659447359,-423.8503659447352,0.0,-423.85036594473456
NO3tex,485.1290365945656,485.1290365950152,-1.5741877383813822e-17,485.1290365963087
ASPTA,-423.8503659447034,-423.850365944735,-3.981543543654883e-15,-423.8503659447337
DAPE,423.8503659447352,423.85036594473297,0.0,423.8503659447345
SDPDS,423.8503659447352,423.85036594473473,0.0,423.8503659447345
DHDPRy,423.8503659447352,423.85036594473297,0.0,423.85036594473456
DAPDC,423.8503659447353,423.8503659447364,3.3459157354670437e-16,423.85036594473456
O2tpp,711.6586333087032,711.6586333083994,1.7514893617021563,711.6586333073351
O2tex,916.0150597473512,916.0150597461638,1.751489361702156,916.015059744062
CYSabcpp,773.3772218083344,773.377221807308,0.0,773.3772218048275
CYStex,773.3772218081386,773.3772218072713,0.0,773.3772218048275
CYSDS,773.3772218084322,773.3772218073047,-1.002483365028704e-14,773.3772218048275
H2St1pp,773.3772218080676,773.3772218073157,-1.002483365028704e-14,773.3772218048275
