ID,lb,ub,pfba_wt,pfba_sec_met
NADPHQR2,0.0,579.0509256650421,0.0,0.0
NH4tpp,-75.7581772583935,178.5279038287866,160.6146219011917,30.85484531967873
H2Stex,-192.6622081787928,-192.6622081788715,0.0,-192.66220817883055
NO3R2pp,0.0,749.1904866466563,160.6146219011914,330.15643930150605
NO3t7pp,0.0,749.1904866467569,160.61462190119144,330.1564393015061
MDH3,0.0,678.0962162321784,0.0,0.0
NTRIR3pp,0.0,749.1904866466381,0.0,182.5186613937433
SUCDi,116.37782978197367,1000.0,29.10022329636521,116.37782978204852
NH4tex,-600.7447956903596,-350.7447956902274,0.0,-350.744795690345
ALATA_L2,0.0,0.2746668909280745,0.0,0.0
ACCOAC,181.7824998375033,181.78249983750013,1.2892226035426988,181.7824998375008
P5CR,3.9402835990932905,786.1615051259687,3.940283599093279,3.940283599088691
PROD2,0.0,338.6171597701684,0.0,0.0
CYSDS,192.66220817868523,192.66220817878823,0.0,192.6622081788306
H2St1pp,192.662208178781,192.66220817882265,0.0,192.66220817883055
PDH,786.1159630535402,1000.0,277.4564151162999,837.694060125797
PPA,466.7900578587163,466.7900578587127,45.63907764615573,466.79005785872175
CYSabcpp,315.5258163798975,315.5258163799133,2.5347567117893988,315.52581637992506
CYStex,315.5258163798434,315.52581637989545,2.5347567117893988,315.52581637992506
ADK1,-1000.0,1000.0,31.682012207308603,452.83299241987766
