ID,lb,ub,pfba_wt,pfba_sec_met
NADPHQR2,0.0,167.73836836854957,0.0,0.0
NH4tpp,-108.60989614619542,-45.7080080079264,0.0,-45.70800800803345
H2Stex,-388.4745345345288,-388.4745345344964,1.002483365028704e-14,-388.4745345345629
NO3R2pp,0.0,596.8398248248056,-1.5741877383813822e-17,345.2322722722644
NO3t7pp,345.2322722722769,596.8398248248985,-1.5741877383813825e-17,345.2322722722644
MDH3,0.0,167.73836836837984,0.0,0.0
NTRIR3pp,13.104603353381696,596.8398248248253,0.0,129.11976643309978
SUCDi,15.05013013011682,1000.0,0.5838297872340432,15.05013013013611
NH4tex,-691.5144794794503,-441.514479479371,1.3462349657519678e-14,-441.5144794795039
ALATA_L2,0.0,-1.2584379944025212e-11,0.0,0.0
ACCOAC,293.79987987988403,293.79987987987244,0.0,293.7998798798741
P5CR,8.61851324929316e-14,480.8330380380445,0.0,0.0
PROD2,0.0,480.8330380380051,0.0,0.0
CYSDS,388.47453453449305,388.47453453452937,-1.002483365028704e-14,388.4745345345629
H2St1pp,388.4745345346621,388.4745345345452,-1.002483365028704e-14,388.4745345345629
PDH,994.3830630631586,1000.0,0.583829787234046,994.3830630630506
PPA,685.5330530530501,685.5330530530432,6.848963882016754e-15,685.5330530530423
CYSabcpp,584.3411211211329,584.3411211211196,0.0,584.341121121146
CYStex,584.3411211211136,584.3411211211223,0.0,584.341121121146
ADK1,-1000.0,1000.0,0.0,601.7495495496395
