ID,lb,ub,pfba_wt,pfba_sec_met
PUNP1,-230.40801868654975,-230.408018686706,-0.0047571369042658,-230.40801868664127
NH4tex,-867.0505185808117,-411.969969278092,0.0,-560.362152917769
PPM,-1000.0,-230.40801868669945,-0.004757136904229,-230.4080186866413
DHAtpp,-481.4692806757462,0.0,0.0,0.0
DHAtex,-481.46928067574953,2.0892622142160412e-13,0.0,0.0
RPI,-185.6936168475376,-185.693616847595,-20.6565533339176,-185.693616847568
RPE,-186.118175316871,-186.1181753170644,18.11037426328206,-186.1181753169345
TKT2,-132.85157154941572,-132.85157154963716,6.010779994575119,-132.85157154955232
NADPHQR2,0.0,1000.0,0.0,0.0
PPC,0.0,28.938872969645196,25.633939294642445,0.0
METS,231.50386281073744,231.5038628107246,1.1006012610024265,231.5038628107394
METAT,230.41039725509157,230.4103972550797,0.0071357053563987,230.41039725509336
ADNK1,230.408018686701,230.40801868654003,0.0047571369042658,230.40801868664133
RHCCE,230.40801868663965,230.4080186866332,0.0047571369042658,230.40801868664127
DHPTDCs2,230.4080186866393,230.40801868663075,0.0047571369042658,230.40801868664124
MTHTHFSs,230.40801868663937,230.40801868663155,0.0047571369042658,230.40801868664127
AHCYSNS,230.40801868663937,230.40801868663235,0.0047571369042658,230.40801868664127
PGI,-784.8926103790953,668.5952863779071,39.028494490377696,0.0
PPA,566.9931240266015,566.9931240265164,29.38551374386097,566.9931240265842
ADK1,-1000.0,1000.0,5.300666863150994,558.0066247494315
